
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. MPFS_ICICLE_KIT_BASE_DESIGN, 12438, 12565, 2503, 0, 0, 21, 69, 12, 158
.	. CLOCKS_AND_RESETS, 49, 1, 0, 0, 0, 0, 0, 7, 0
.	.	. CLK_DIV, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CLK_DIV_CLK_DIV_0_PF_CLK_DIV, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_0, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_3, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_2, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_1, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_3, 17, 1, 0, 0, 0, 0, 0, 1, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_0, 17, 1, 0, 0, 0, 0, 0, 1, 0
.	.	. GLITCHLESS_MUX, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. GLITCHLESS_MUX_GLITCHLESS_MUX_0_PF_NGMUX, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. INIT_MONITOR_INIT_MONITOR_0_PFSOC_INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSCILLATOR_160MHz, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. OSCILLATOR_160MHz_OSCILLATOR_160MHz_0_PF_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PCIE_REF_CLK, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PCIE_REF_CLK_PCIE_REF_CLK_0_PF_XCVR_REF_CLK, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	.	. PF_CCC_C0_PF_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	. TRANSMIT_PLL, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. TRANSMIT_PLL_TRANSMIT_PLL_0_PF_TX_PLL, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. FIC_0_PERIPHERALS, 6721, 7956, 1387, 0, 0, 19, 53, 2, 0
.	.	. DMA_CONTROLLER, 1991, 2786, 557, 0, 0, 7, 21, 0, 0
.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_COREAXI4DMACONTROLLER_Z12, 1991, 2786, 557, 0, 0, 7, 21, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAControlle, 1005, 1423, 164, 0, 0, 0, 16, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_DMAArbiter_Z4, 23, 283, 6, 0, 0, 0, 16, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_fixedPriorityArbiter_4s_2s_1s_0s_1s, 5, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_intExtDscrptrCache_4s_2s_24s_134s_167s_27s_0s, 8, 231, 4, 0, 0, 0, 16, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_dscCacheM_88s_2s, 0, 0, 0, 0, 0, 0, 8, 0, 0
.	.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheM, 0, 0, 0, 0, 0, 0, 8, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_dscCacheNM_64s_2s, 0, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheNM, 0, 0, 0, 0, 0, 0, 6, 0, 0
